distribution,sample_size_mode,num_studies,average_group_n,heterogeneity_ratio,true_i2,method,point_bias_pct,point_mse_pct,variance_bias_pct,variance_mse_pct,coverage_z,average_width_z,coverage_t,average_width_t,fail_rate
normal,fixed,30,100,0.3333,0.249981249531238,DiVE,0.591766196237569,2.72280490920363,-0.870091224622873,6.96541299621123,0.931,0.144554288669885,0.946,0.150842933042178,0
normal,fixed,30,100,0.3333,0.249981249531238,QE-RE,0.485799014937702,2.7753044834993,0.549378126631385,6.1553530547037,0.936,0.145822179696067,0.952,0.152165982001341,0
normal,fixed,30,100,0.3333,0.249981249531238,QE-FE,0.424772149071555,2.8116746305015,-27.9321548388899,7.85212121967958,0.899,0.124329663443859,0.904,0.129738462072525,0
normal,fixed,30,100,1,0.5,DiVE,-0.410352156746064,4.36594292029389,-1.86526767602113,6.6810385371495,0.929,0.176161343254021,0.941,0.183825011001714,0
normal,fixed,30,100,1,0.5,QE-RE,-0.359456664938412,4.34990714668414,-1.29255609810181,6.78794011330606,0.926,0.176680501509212,0.944,0.18436675455458,0
normal,fixed,30,100,1,0.5,QE-FE,-0.315803262689365,4.39585402835345,-52.0208558764862,27.0829173060062,0.81,0.124246365392316,0.828,0.129651540248709,0
normal,fixed,30,100,3,0.75,DiVE,0.652672245266936,8.55130011208762,-0.414837986687378,7.02183749598078,0.94,0.250920397076342,0.949,0.261836359220996,0
normal,fixed,30,100,3,0.75,QE-RE,0.695027630474893,8.5987983548875,0.0218170420352497,7.19336472859013,0.941,0.251436350084745,0.951,0.262374758087024,0
normal,fixed,30,100,3,0.75,QE-FE,0.78194771172301,8.91682565511079,-75.9729911481051,57.7248363899745,0.654,0.124341761494285,0.671,0.129751086432736,0
normal,fixed,30,300,0,0,DiVE,0.0803908825725314,2.1214213708384,-0.251220438155504,6.71771435857965,0.933,0.0725312283328776,0.943,0.0756866041094671,0
normal,fixed,30,300,0,0,QE-RE,0.104881252774053,2.12637515552185,9.44096643558291,3.83258458215327,0.955,0.0764072786848596,0.961,0.0797312769385614,0
normal,fixed,30,300,0,0,QE-FE,0.103727452532916,2.13021960741722,-1.42172173475475,0.049446638544046,0.945,0.072711993623229,0.954,0.0758752333562347,0
normal,fixed,30,300,0.3333,0.249981249531238,DiVE,-1.25559485394513,3.02256648181927,-0.733121666344824,6.93227639193965,0.931,0.0835095853361344,0.94,0.0871425601076815,0
normal,fixed,30,300,0.3333,0.249981249531238,QE-RE,-1.29428802059139,3.04564725503774,1.08166812601474,5.64633742887063,0.934,0.0844688359631325,0.947,0.0881435416726725,0
normal,fixed,30,300,0.3333,0.249981249531238,QE-FE,-1.32714289607496,3.05484105931903,-26.0908115290962,6.82429198765362,0.9,0.0726989354270062,0.913,0.0758616070803447,0
normal,fixed,30,300,1,0.5,DiVE,-0.295220590394167,4.19016911311,0.75694131641821,7.02738498268708,0.943,0.103057078332035,0.951,0.107540441099346,0
normal,fixed,30,300,1,0.5,QE-RE,-0.289311577454304,4.19574311047618,0.840408490733812,6.99448353856408,0.945,0.103115540334681,0.954,0.107601446414594,0
normal,fixed,30,300,1,0.5,QE-FE,-0.260654148848315,4.21638510860884,-50.6638128478771,25.6755746323912,0.837,0.0727466767610903,0.851,0.0759114253384321,0
normal,fixed,30,300,3,0.75,DiVE,0.529616584007689,8.48353983518924,1.4480621305706,6.57340213035933,0.956,0.146376573941784,0.961,0.152744494440198,0
normal,fixed,30,300,3,0.75,QE-RE,0.537320557323408,8.47356177540597,1.62003379540449,6.7051143704341,0.954,0.146484385597268,0.96,0.15285699630008,0
normal,fixed,30,300,3,0.75,QE-FE,0.557686077758747,8.49067938799179,-75.3704506069094,56.8089204073404,0.673,0.0726897621711021,0.692,0.0758520347539969,0
normal,varying,10,100,0,0,DiVE,0.518012836022876,6.02578306533679,-0.744327724005999,32.3882216391519,0.919,0.21110670292135,0.949,0.243655773215809,0
normal,varying,10,100,0,0,QE-RE,0.565205023138788,6.21396154029529,17.6949896634684,17.1367624117648,0.958,0.235957430544745,0.977,0.272338061225914,0
normal,varying,10,100,0,0,QE-FE,0.598541073827684,6.15921573636756,-3.97784050393798,0.416759373610209,0.944,0.215222071609735,0.968,0.248405661902243,0
normal,varying,10,100,0.3333,0.249981249531238,DiVE,0.994267269796675,9.17213887212372,-0.607907477562274,31.8586862407174,0.908,0.250668108622968,0.945,0.289316876166781,0
normal,varying,10,100,0.3333,0.249981249531238,QE-RE,0.890072115972585,9.0437979807982,6.44397023760604,18.4205683126279,0.933,0.262629697765268,0.962,0.303122739320462,0
